module	stock_path	compiled_path	stock_vermagic	compiled_vermagic	vermagic_equal	stock_depends	compiled_depends	depends_equal	stock_size	compiled_size	compiled_over_stock	stock_undef	compiled_undef	undef_delta
adsp.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/adsp.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/adsp/adsp.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	aee_aed,mrdump,mtk_slbc,mtk-mbox,irq-dbg,emi-mpu	aee_aed,mrdump,mtk_slbc,irq-dbg,emi-mpu	no	186624	3105704	16.642	117	121	4
cqhci.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/cqhci.ko	/home/rebelpilot89/manaus-kernel/out/drivers/mmc/host/cqhci.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mcDrvModule,blocktag	blocktag	no	82136	823392	10.025	44	47	3
iommu_debug.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/iommu_debug.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/iommu/iommu_debug.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	aee_aed	iommu_secure,aee_aed	no	241656	683928	2.830	44	51	7
leds-mtk-disp.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/leds-mtk-disp.ko	/home/rebelpilot89/manaus-kernel/out/drivers/leds/leds-mtk-disp.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	leds-mtk,mediatek-drm,mediatek-drm-gateic,mtk_panel_ext	leds-mtk,mtk_panel_ext,mediatek-drm	no	19016	309336	16.267	19	19	0
leds-mtk-pwm.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/leds-mtk-pwm.ko	/home/rebelpilot89/manaus-kernel/out/drivers/leds/leds-mtk-pwm.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	leds-mtk,mediatek-drm	leds-mtk	no	16536	285672	17.276	14	14	0
mediatek-drm.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mediatek-drm.ko	/home/rebelpilot89/manaus-kernel/out/drivers/gpu/drm/mediatek/mediatek_v2/mediatek-drm.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mtk-cmdq-drv-ext,mmqos-common,mtk-icc-core,cmdq_helper_inf,mmprofile,mtk-mml,mrdump,clk-common,mtk_sync,mtk_disp_notify,mtk_panel_ext,iommu_debug,mtk-smi,mtk_slbc,mtk-smi-dbg,aee_aed,leds-mtk,clkbuf	mtk-cmdq-drv-ext,mmqos-common,mtk-icc-core,mmprofile,mtk-mml,mrdump,mtk_sync,mtk_disp_notify,mtk_panel_ext,iommu_debug,mtk-smi,mtk_slbc,mtk-smi-dbg,aee_aed,leds-mtk,clkbuf	no	5863152	72305912	12.332	491	501	10
mt6375-adc.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mt6375-adc.ko	/home/rebelpilot89/manaus-kernel/out/drivers/iio/adc/mt6375-adc.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	industrialio-triggered-buffer		no	21944	301504	13.740	26	28	2
mtk_charger_framework.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk_charger_framework.ko	/home/rebelpilot89/manaus-kernel/out/drivers/power/supply/mtk_charger_framework.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	charger_class,mtk_charger_algorithm_class,tcpc_class,moto_chg_tcmd,adapter_class,monitor_hang	charger_class,mtk_charger_algorithm_class,moto_chg_tcmd,adapter_class	no	317616	4555944	14.344	155	154	-1
mtk-cmdq-drv-ext.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-cmdq-drv-ext.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/cmdq/mailbox/mtk-cmdq-drv-ext.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	device-apc-common,mtk-smi-dbg,vcp_status,aee_aed,mmprofile,iommu_debug,irq-dbg	vcp_status,aee_aed,device-apc-common,mtk-smi-dbg,mmprofile,iommu_debug,irq-dbg	no	448064	2839048	6.336	138	140	2
mtk-mmc-dbg.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-mmc-dbg.ko	/home/rebelpilot89/manaus-kernel/out/drivers/mmc/host/mtk-mmc-dbg.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mrdump,blocktag,pinctrl-mtk-common-v2_debug	mrdump,blocktag	no	69856	572656	8.198	44	47	3
