module	stock_path	compiled_path	stock_vermagic	compiled_vermagic	vermagic_equal	stock_depends	compiled_depends	depends_equal	stock_size	compiled_size	compiled_over_stock	stock_undef	compiled_undef	undef_delta
8250_mtk.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/8250_mtk.ko	/home/rebelpilot89/manaus-kernel/out/drivers/tty/serial/8250/8250_mtk.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	40272	396768	9.852	56	54	-2
adapter_class.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/adapter_class.ko	/home/rebelpilot89/manaus-kernel/out/drivers/power/supply/adapter_class.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	31312	303720	9.700	19	20	1
adsp.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/adsp.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/adsp/adsp.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	aee_aed,mrdump,mtk_slbc,mtk-mbox,irq-dbg,emi-mpu	aee_aed,mrdump,mtk_slbc,irq-dbg,emi-mpu	no	186624	3105704	16.642	117	121	4
aee_aed.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/aee_aed.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/aee/aed/aee_aed.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mrdump	mrdump	yes	156816	1171584	7.471	127	133	6
aee_hangdet.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/aee_hangdet.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/aee/hangdet/aee_hangdet.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mrdump	mrdump	yes	54264	576552	10.625	61	64	3
aee_rs.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/aee_rs.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/aee/aed/aee_rs.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mediatek-drm,aee_aed	mediatek-drm,aee_aed	yes	19528	296368	15.177	22	23	1
arm_dsu_pmu.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/arm_dsu_pmu.ko	/home/rebelpilot89/manaus-kernel/out/drivers/perf/arm_dsu_pmu.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	38488	443704	11.528	38	42	4
blocktag.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/blocktag.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/blocktag/blocktag.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mrdump	mrdump	yes	124784	1842864	14.768	75	84	9
bootprof.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/bootprof.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/mtprof/bootprof.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	41360	365400	8.835	38	40	2
bq25980_mmi.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/bq25980_mmi.ko	/home/rebelpilot89/manaus-kernel/out/drivers/power/supply/bq25980_mmi/bq25980_mmi.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	charger_class	charger_class	yes	65648	462128	7.039	42	44	2
cache-parity.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/cache-parity.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/sda/cache-parity.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mrdump,aee_aed	mrdump,aee_aed	yes	38576	351088	9.101	51	54	3
cfg80211.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/cfg80211.ko	/home/rebelpilot89/manaus-kernel/out/net/wireless/cfg80211.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	2059640	22716672	11.029	185	191	6
charger_class.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/charger_class.ko	/home/rebelpilot89/manaus-kernel/out/drivers/power/supply/charger_class.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	88344	419248	4.746	20	22	2
